"Variable","Coeficiente","Error_Estándar","Valor_t","Valor_p"
"(Intercept)",207641.767926046,8246.41665390748,25.1796357909781,1.93068482796261e-139
"end_1",-17646.9739931268,4350.93089221107,-4.05590767362406,4.99798919997409e-05
"end_2",7459.37535367599,4134.19719041862,1.80431048885713,0.0711858198138245
"end_3",18478.5414943583,4221.83959131489,4.37689331739939,1.20511396126309e-05
"end_4",-2085.24890181274,4121.10046143802,-0.505993222277604,0.612862584591949
"end_5",12301.3454101511,4143.41474570147,2.96889067716741,0.00298951667260168
"end_6",1485.48438212504,4057.57121254232,0.366101863482586,0.71428988421615
"end_7",13321.0127796937,4062.10532238406,3.27933712262182,0.00104088751698295
"end_8",-564.941586448801,3969.38169169406,-0.142324833016422,0.886823734815915
"area",11422.8462280607,225.762208404334,50.5968040833598,0
"area2",17.7827867664566,1.39103353405462,12.7838663347121,2.16681200983756e-37
"kindergartendistance",-4024.88595546968,4195.35872245437,-0.959366343079965,0.337376671678681
"restaurantdistance",-228653.724402647,4152.37608160729,-55.065755102351,0
"collegedistance",-15901.998130226,949.23157448943,-16.7524959742088,6.69097422066422e-63
"pharmacydistance",126295.877765026,4625.4770675287,27.3044003723715,1.62333972761408e-163
"hasparkingspace",11982.2491797855,2179.80756687399,5.49692980328944,3.87453070190525e-08
"hasbalcony",4007.80720310301,2042.68900797286,1.96202514795941,0.0497624784915601
"haselevator",165923.765918104,2143.79410804248,77.3972487822588,0
"hassecurity",46379.8335539175,3043.74231054582,15.2377661516295,2.29111238963736e-52
"hasstorageroom",-32616.8460415974,2100.84321381331,-15.5255974492231,2.71663112586312e-54
"month",11277.1248103599,548.633337505195,20.5549390447916,1.11418245586458e-93
"typeblockOfFlats",-178710.897874645,3593.55148304172,-49.7309969588572,0
"typeOtros",-126586.878893899,4194.78480726276,-30.177204483703,4.16653657007435e-199
"typetenement",-119367.949232698,3932.25414313458,-30.3561125216449,1.94119661464162e-201
"rooms",-23453.2552126765,1887.3837940203,-12.4263307160855,2.00428300106213e-35
"ownershipcooperative",-27996.4387064023,3296.63982593908,-8.49241657706033,2.05256200657533e-17
"ownershipudziaÃÂ",-67106.3021315625,101371.656030933,-0.661982893039502,0.507983794805925
"buildingmaterialconcreteSlab",-69840.4458933432,3659.03616732237,-19.0871154860575,4.59059540213538e-81
"buildingmaterialOtros",43371.2356959505,2925.48483703317,14.8253154987926,1.14275324503395e-49
