"Variable","Coeficiente","Error_Estándar","Valor_t","Valor_p"
"(Intercept)",192658.138292228,7853.14164900288,24.5326197976691,1.54524095815275e-132
"end_0",17185.5740730104,4040.36326915245,4.25347250437097,2.10659308743358e-05
"end_1",-17711.7992623962,4388.16505991064,-4.03626550518975,5.43464987267061e-05
"end_2",7361.5078558233,4169.40977736803,1.76559950901979,0.0774659145608665
"end_3",18302.5501684473,4257.43266455714,4.29896409655869,1.71749823038304e-05
"end_4",-2178.89474289613,4155.97788654017,-0.524279676740543,0.600085116430474
"end_5",12407.9035163537,4178.9658421572,2.96913255216958,0.0029870794004141
"end_6",1629.57494402441,4091.91766558063,0.398242359012172,0.690452339411319
"end_7",13515.0657742809,4096.14335973646,3.29946112412199,0.000969022777735073
"end_8",-394.070194369463,4002.66278614697,-0.0984520094306523,0.921573562133795
"area",11812.2082606126,211.466134953454,55.8586284428598,0
"area2",14.5877154272695,1.29181906534669,11.2923828255736,1.48729940683989e-29
"kindergartendistance",-1944.69358342935,3964.75047771354,-0.490495831795915,0.623784084618474
"restaurantdistance",-231598.520054852,3931.3658466419,-58.9104471802538,0
"collegedistance",-15940.6629534084,903.874276781516,-17.6359294239121,1.63807949848827e-69
"pharmacydistance",128878.412569706,4391.40572561633,29.3478718711689,1.4324336373266e-188
"hasparkingspace",9983.72109204751,2066.04113602964,4.83229540687338,1.35154365499401e-06
"hasbalcony",5275.63043248071,1940.83157682542,2.71823196586175,0.00656423787310834
"haselevator",168440.928014966,2036.60989312301,82.7065254783146,0
"hassecurity",43350.3087065526,2867.17429536782,15.1195233497276,1.36172591744114e-51
"hasstorageroom",-33226.4310775284,1992.79423074215,-16.6732874699031,2.45822279298209e-62
"month",10987.9454216242,521.070165336076,21.0872664615855,1.65386559008084e-98
"typeblockOfFlats",-179701.233845767,3401.64321648006,-52.8277724645437,0
"typeOtros",-123720.554457424,3969.77419773695,-31.1656402341355,2.79900014131225e-212
"typetenement",-116635.206226745,3707.91536063466,-31.4557358738581,3.42064538323833e-216
"rooms",-21764.4784026323,1786.33413775508,-12.1838786723206,3.99104095151205e-34
"ownershipcooperative",-29617.7218616439,3151.52175498431,-9.3979112835892,5.67035017675119e-21
"ownershipudziaÃÂ",-66416.1033607486,102245.73446285,-0.649573341222172,0.515969252451681
"buildingmaterialconcreteSlab",-70958.4974863526,3497.18023118056,-20.2902031910431,2.33429931394205e-91
"buildingmaterialOtros",42261.2714830891,2772.24132800488,15.2444417649251,2.03554928299751e-52
